Case 1:
* Query 1
A B (1)
* Query 2
B A (1)
Case 2:
* Query 1
one two (2)
two three (3)
three four (5)
four five (7)
* Query 2
five four (7)
four three (5)
three two (3)
two one (2)
* Query 3
two three (3)
three four (5)
* Query 4
three two (3)
two one (2)
Case 3:
* Query 1
Abc Xyz (100)
* Query 2
Xyz Abc (100)
Case 4:
* Query 1
OPzDTOdHRG LwLACmXkcd (18713)
LwLACmXkcd rCcOToMAhy (14219)
rCcOToMAhy sDmHHjsosI (7286)
sDmHHjsosI XuyoxBhBGP (378)
XuyoxBhBGP HbtttuMiXY (218)
HbtttuMiXY YtivOcjBfa (338)
YtivOcjBfa ezaDMhUTtv (4448)
ezaDMhUTtv NDCBEnUArX (2527)
NDCBEnUArX wYuGEjYTLD (4102)
wYuGEjYTLD AfkEcmcsRE (1759)
AfkEcmcsRE KTeOOvFVWC (561)
KTeOOvFVWC MlMgEPImFJ (4600)
MlMgEPImFJ PjqBtgGXui (2985)
* Query 2
wMCPvtVUwJ AfkEcmcsRE (8192)
AfkEcmcsRE bSXMWdUTHQ (1571)
bSXMWdUTHQ SzoSblgMVy (1662)
SzoSblgMVy ITgKuzSGlM (3519)
ITgKuzSGlM tDOdKaNXtb (1973)
tDOdKaNXtb pmsKtGxvYh (3451)
pmsKtGxvYh HjjzgYIgVW (6649)
HjjzgYIgVW mUlyzhToBi (9917)
* Query 3
UpjMpTQMqJ WBrfFmzTZc (7725)
WBrfFmzTZc NDCBEnUArX (556)
NDCBEnUArX wYuGEjYTLD (4102)
wYuGEjYTLD vDRUiMAoyS (12787)
vDRUiMAoyS WLfKBBCCLA (9211)
WLfKBBCCLA nYUatFqJPV (6201)
nYUatFqJPV mMiLFHCZMu (10273)
* Query 4
iwBhBiSjvC SzoSblgMVy (1595)
SzoSblgMVy ITgKuzSGlM (3519)
ITgKuzSGlM qaCohNimYc (783)
qaCohNimYc NAWeFokVAv (6223)
NAWeFokVAv GAEwqLwnKE (7568)
GAEwqLwnKE MrOAeUWFui (5026)
MrOAeUWFui MXtiJmYsDf (9743)
* Query 5
AHRjQHtbfM sDmHHjsosI (6537)
sDmHHjsosI XuyoxBhBGP (378)
XuyoxBhBGP HbtttuMiXY (218)
HbtttuMiXY YtivOcjBfa (338)
YtivOcjBfa ezaDMhUTtv (4448)
ezaDMhUTtv NDCBEnUArX (2527)
NDCBEnUArX wYuGEjYTLD (4102)
wYuGEjYTLD vDRUiMAoyS (12787)
vDRUiMAoyS WLfKBBCCLA (9211)
WLfKBBCCLA KkzFvXCwqd (2113)
* Query 6
iwBhBiSjvC SzoSblgMVy (1595)
SzoSblgMVy bSXMWdUTHQ (1662)
bSXMWdUTHQ AfkEcmcsRE (1571)
AfkEcmcsRE KTeOOvFVWC (561)
KTeOOvFVWC MlMgEPImFJ (4600)
MlMgEPImFJ PjqBtgGXui (2985)
* Query 7
DpKGsrrpAj eFLexupTjR (2114)
eFLexupTjR sDmHHjsosI (4700)
sDmHHjsosI XuyoxBhBGP (378)
XuyoxBhBGP HbtttuMiXY (218)
HbtttuMiXY YtivOcjBfa (338)
YtivOcjBfa ezaDMhUTtv (4448)
ezaDMhUTtv NDCBEnUArX (2527)
NDCBEnUArX wYuGEjYTLD (4102)
wYuGEjYTLD AfkEcmcsRE (1759)
AfkEcmcsRE wMCPvtVUwJ (8192)
wMCPvtVUwJ rZHuigjsGp (3165)
rZHuigjsGp cXnldidozW (7060)
* Query 8
rCcOToMAhy LwLACmXkcd (14219)
LwLACmXkcd OPzDTOdHRG (18713)
OPzDTOdHRG DANpQmatsx (19534)
* Query 9
NDCBEnUArX ezaDMhUTtv (2527)
ezaDMhUTtv YtivOcjBfa (4448)
YtivOcjBfa HbtttuMiXY (338)
HbtttuMiXY XuyoxBhBGP (218)
XuyoxBhBGP sDmHHjsosI (378)
sDmHHjsosI MBUsvvJoYx (150)
MBUsvvJoYx YScqkZyQAx (5147)
YScqkZyQAx QAOWiBrQaZ (856)
QAOWiBrQaZ qpfvoQPnzV (129)
qpfvoQPnzV PuumpDNHFD (5032)
PuumpDNHFD xQqxQNCrIt (12032)
* Query 10
WBrfFmzTZc NDCBEnUArX (556)
NDCBEnUArX wYuGEjYTLD (4102)
wYuGEjYTLD vDRUiMAoyS (12787)
vDRUiMAoyS WLfKBBCCLA (9211)
* Query 11
vDRUiMAoyS wYuGEjYTLD (12787)
wYuGEjYTLD AfkEcmcsRE (1759)
AfkEcmcsRE wMCPvtVUwJ (8192)
wMCPvtVUwJ xsFInLzGuu (8757)
